ลำดับที่,รหัสทะเบียนวิจัย,ฉบับที่ (ไทย),ฉบับที่ (อังกฤษ),ชื่องานวิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),ชื่อผู้วิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),หน่วยงาน (ไทย),หน่วยงาน (อังกฤษ),สังกัดหน่วยงาน (ไทย),สังกัดหน่วยงาน (อังกฤษ),ชื่อกรม (ไทย),ชื่อกรม (อังกฤษ),ชื่อกระทรวง (ไทย),ชื่อกระทรวง (อังกฤษ),คำสำคัญ (ไทย),คำสำคัญ (อังกฤษ),เลขที่ตั้งหน่วยงาน (ไทย),เลขที่ตั้งหน่วยงาน (อังกฤษ),ชื่อตำบล (ไทย),ชื่อตำบล (อังกฤษ),ชื่ออำเภอ (ไทย),ชื่ออำเภอ (อังกฤษ),ชื่อจังหวัด (ไทย),ชื่อจังหวัด (อังกฤษ),รหัสไปรษณีย์ (เลขไทย),รหัสไปรษณีย์ (เลขอารบิค),หมายเลขโทรศัพท์ (เลขไทย),หมายเลขโทรศัพท์ (เลขอารบิค),หมายเลขโทรสาร (เลขไทย),หมายเลขโทรสาร (เลขอารบิค),ปี พ.ศ. (เลขไทย),ปี ค.ศ. (เลขอารบิค),ปี พ.ศ. (เลขอารบิค),ไฟล์งานวิจัยฉบับย่อ (ไทย),ไฟล์งานวิจัยฉบับย่อ (อังกฤษ),ไฟล์งานวิจัยฉบับเต็ม (รวม),พาทเก็บไฟล์งานวิจัยฉบับย่อ (ไทย),พาทเก็บไฟล์งานวิจัยฉบับย่อ (อังกฤษ),พาทเก็บไฟล์งานวิจัยฉบับเต็ม (รวม)
341,43-2-1805-01-2-032-072,๘/๒๕๔๖,8/1/2003,คุณภาพน้ำและดินในบ่อเลี้ยงปลากะรังในอำเภอเมือง จังหวัดตราด,"Water and Soil Qualities in Grouper ponbs, Muang District, Trat Provence",ทรงสิทธิ์ ลิ้มสกุล<br>สุวรรณา วรสิงห์<br>จามรี รักษ์บางแหลม,"Songsith Limsakul, Suwanna Worasingh, Jamaree Rukbanglaem",สถานีเพาะเลี้ยงสัตว์น้ำชายฝั่งจังหวัดตราด,Trat Coastal Aquaculture Station,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปลากะรัง จังหวัดตราด,"Grouper, Trat province",๒๐๕ หมู่ ๒,205 Moo 2,อ่าวใหญ่,Ao-yai,เมือง,Muang,ตราด,Trat,23000,23000,๐ ๓๙๕๔ ๓๓๓๔,0 3954 3334,๐ ๓๙๕๔ ๓๓๓๕,0 3954 3335,2546,2003,2546,๘๒๕๔๖.pdf,82003.pdf,F82546.pdf,www.coastalaqua.com/research/files/th/๘๒๕๔๖.pdf,http://www.coastalaqua.com/research/files/en/82003.pdf,http://www.coastalaqua.com/research/files/full/F82546.pdf
342,52-0330-50056-039,๑/๒๕๕๗,1/1/0214,"ผลของระดับกากน้ำตาล จุลินทร์ย์บาซิลลัส และวิบริโอ ต่อคุณภาพน้ำ และอัตรารอดของลูกกุ้งขาวแวนาไมระยะวัยอ่อน (Penaeus vannamei Boone, 1931)","Effect of molasses concentrations, Bacillus spp. and Vibrio spp. on water quality and survival rate of vannamei shrimp larvae (Penaeus vannamei Boone, 1931)",กฤษณา จันทร์แก้ว<br>สมพิศ แย้มเกษม<br>สุธาทิพย์ เฉิดฉิ้ม<br>วาริช ตนุภัทรสรณ์,"krissana Chandaew, Sompit Yeamkasem, Suthathip Cherdchim, Varih Tanuphattharason",ศุนย์วิจัยและพัฒนาประมงชายฝั่งระยอง,Rayong Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ลูกก้งขาว (Penaeus vannamei Boone, 1931) บาซิลลัส วิบริโอ กากน้ำตาล","Vannamei Shrimp larvae (Penaeus vannamei Boone, 1931) Bacillus, Vibrio, molasses",- หมู่ ๑๐,- Moo 10,ตะพง,Tapong,เมือง,Muang,ระยอง,Rayong,21000,21000,38655191,38655191,-,-,2557,2014,2557,๑๒๕๕๗.pdf,10214.pdf,F10757.pdf,www.coastalaqua.com/research/files/th/๑๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/10214.pdf,http://www.coastalaqua.com/research/files/full/F10757.pdf
345,57-0335-57018,๓/๒๕๕๗,3/1/2014,"การปนเปื้อนของแคดเมียม ตะกั่ว และปรอทในหอยแมลงภู่ (Perna viridis Linneaus, 1758) บริเวณแหล่งเลี้ยงจังหวัดชุมพร","Contamination of Cadmium, Lead and Mercury in Green Mussel (Perna viridis Linneaus, 1758) culture at Chumphon Province",สมนึก พรหมศร<br>รินปวีร์ เกตุมณี,"Somnuk Promsorn, Rinpawee Ketmanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งชุมพร,Chumphon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,แคดเมียม ตะกั่ว ปรอท หอยแมลงภู่ (Perna viridis) แหล่งเลี้ยงจังหวัดชุมพร,"Cadmium, Lead, Mercury, Green Mussel (Perna viridis), Chumphon",63,63/3 Moo 5,นาชะอัง,Nachaang,เมือง,Muang,ชุมพร,Chumphon,86000,86000,๐ ๗๗๖๕ ๗๐๙๒,0 7765 7092,-,-,2557,2014,2557,๓๒๕๕๗.pdf,32014.pdf,F32557.pdf,www.coastalaqua.com/research/files/th/๓๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/32014.pdf,http://www.coastalaqua.com/research/files/full/F32557.pdf
346,57-0335-57089,๔/๒๕๕๗,4/1/2014,การปนเปื้อนของเชื้อ Escherichia coli และ Salmomella spp. ในหอยแมลงภู่ บริเวณจังหวัดชุมพร,Comtamination of Escherichia coli and Salmonella spp. in Green Mussel in Chumphon Province,สมนึก พรหมศร<br>รินปวีร์ เกตุมณี,"Somnuk Promsorn, Rinpawee Katmanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งชุมพร,Chumphon Coastal Fishiries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,Esherichia coli Salmomella spp. หอยแมลงภู่ จังหวัดชุมพร,"Esherichia coli, Salmonella spp., Green mussel, Chumphon Province",๖๓/๓ หมู่ ๕,63/3 Moo 5,นาชะอัง,Nachaang,เมือง,Muang,ชุมพร,Chumphon,86000,86000,๐ ๗๗๖๕ ๗๐๙๒,0 7765 7092,-,-,2557,2014,2557,๔๒๕๕๗.pdf,42014.pdf,F42557.pdf,www.coastalaqua.com/research/files/th/๔๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/42014.pdf,http://www.coastalaqua.com/research/files/full/F42557.pdf
344,54-0300-54049,๒/๒๕๕๗,2/1/2014,"ผลการเสริม Schizochytrium limacinum (D.Honda & Yokochi, 1998) ในอาหารมีชีวิตสำหรับการอนุบาลลูกปูทะเล (Scylla paramamosain Estampador, 1949)","Supplemental Effect of Schizochytrium limacinum (D.Honda & Yokochi, 1998) in Living Feed for Nursing Mud Crab (Scylla paramamosain Eatampador, 1949)",กอบศักดิ์ เกตุเหมือน<br>ไชยพร ลู่สวัสดิกุล<br>จูอะดี พงศ์มณีรัตน์<br>พัชรินทร์ ช่วยดู,"Kobsak Kedmuean, Chaiyaporn Lusawatdigul, Juadee Pongmaneerat, Patcharin Chuaydoo",ศูนย์ศึกษาการพัฒนาและอนุรักษ์พันธุ์ปู ป่าทุ่งทะเล อันเนื่องมาจากพระราชดำริ,Thung Tala Forest Royal Development Study  and Crab Conservation Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปูทะเล (Scylla paramamosain), Schizochytrium limacinum, อัตราการรอดตาย และความแข็งแรง","Mud crab (Scylla paramamosian), Schizochytrium limacinum, Developmental period, Survival Rate, Stress Resistance",๙๗/๑ หมู่ ๓,79 Moo 3,เกาะกลาง,Kohklang,เกาะลันตา,Kohlanta,กระบี่,Krabi,80120,80120,๐ ๘๖๔๗๐ ๘๙๑๐,0 86470 8910,-,-,๒๕xx,2014,2557,๒๒๕๕๗.pdf,22014.pdf,F22557.pdf,www.coastalaqua.com/research/files/th/๒๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/22014.pdf,http://www.coastalaqua.com/research/files/full/F22557.pdf
347,52-0313-50057-025,๕/๒๕๕๗,5/1/2014,"ผลของวิตามินซีต่อการเจริญเติบโต อัตรารอดตายและการลอกคราบของปูม้า (Portunus pelagicus, Linnaeus 1758)","The effect of vitamin C on growth, Survival and molting of swimming crab (Portunus pelasicus, Linnaeus 1758)",มนทกานติ ท้ามติ้น<br>ปิยาลัย เหมทานนท์<br>ชัชวาลี ชัยศรี<br>จีรวัฒน์ แซ่ตัน<br>ประเสริฐ โศภณ<br>ประดิษฐ์ ชนชื่นชอบ,"Montakan Tamtin, Piyalai Hemtanon, Chatchawalee Chaisri, Jirawat Saeton, Prasert Sobhon, Pradit Chonchernchob",สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau				,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,วิตามินซี ปูม้า การเจริญเติบโต การลอกคราบ,"ascorbic acid, blue swimming crab, growth, molting",,,แหลมผักเบี้ย,Laem Pakbia,บ้านแหลม,Ban Laem,เพชรบุรี,Phetchaburi,76100,76100,๐ ๓๒๗๗ ๐๗๕๐,0 3277 0749,-,-,2557,2014,2557,๕๒๕๕๗.pdf,52014.pdf,F52557.pdf,www.coastalaqua.com/research/files/th/๕๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/52014.pdf,http://www.coastalaqua.com/research/files/full/F52557.pdf
348,52-0313-50057-026,๖/๒๕๕๗,6/1/2014,"ผลของรงควัตถุชนิดต่างๆ ต่อการเจริญเติบโต อัตรารอดตาย การลอกคราบและองค์ประกอบของแคโรทีนอยด์ในปูม้า (Portunus pelagicus, Linnaeus 1758)","Effect of Dietary Pigment Sources on Growth, Survival Rate, Moulting and Carotenoids Profile of Blue Swimming Crab (Portunus pelagicus, Linnaeus 1758)",มนทกานติ ท้านติ้น<br>นงลักษณ์ สำราญราษฎร์<br>กอบศักดิ์ เกตุเหมือน,"Montakan Tamtin, Nonglak Samranrat, Kobsak Kademuan",สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,แคโรทีนอยด์ เมตาบอลิซึม ปูม้า,"carotenoids, metaboloism, Portunus pelagicus",,,แหลมผักเบี้ย,,บ้านแหลม,Ban-Laem,เพชรบุรี,Petchaburi,76100,76100,-,-,-,-,2557,2014,2557,๖๒๕๕๗.pdf,62014.pdf,F62557.pdf,www.coastalaqua.com/research/files/th/๖๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/62014.pdf,http://www.coastalaqua.com/research/files/full/F62557.pdf
349,54-0300-54032,๗/๒๕๕๗,7/1/2014,"ผลของการเสริม Mortierdlla alpina เพื่อเป็นแหล่งกรดไขมันอะรชิโคนิค (20:4n-6)ในโรติเฟอร์ (Brachinus rotundiromis) ต่อองค์ประกอบกรดไขมัน การเจริญเติบโต อัตราการรอดตาย และพยาธิสภาพของปลากะรังเสือ Epinephelus fuscoguttatus (Forsskal, 1775) วัยอ่อน","Enrichment Effect of Mortierella alpiaas a Source of Arachidonec Acid (20:4n-6) in Rotifer (Brachionus rotundiformis) on Fatty Acids Profile, Growth, Survival Rate and Histophatology of Tiger Grouper Epinephelus Fuscoguttatus (Forsska, 1775) Larvae",มนทกานติ ท้ามติ้น<br>อาคม สิงหบุญ<br>ชัชวาลี ชัยศรี<br>ไพบูลย์ บุญลิปตานนท์,"Montakan Tamtin, Arkom Singhabun, Chatchawalee Chaisri, Paiboon Bunlipatanon",สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,กรดไขมันจำเป็น 20:4n-6 Mortierell alpins Schizochytrium sp. ความทนทานต่อความเครียดปลากะรังเสือ,"Essential fatty acid, Archidonic acid, Mortierella alpina, Schizochytrim sp., Stress tolerance test, Epiniphelus fuscoguttatus",,,แหลมผักเบี้ย,Laem Pakbia,บ้านแหลม,Ban Laem,เพชรบุรี,Phetchaburi,76100,76100,-,0 3277 0750,-,-,2557,2014,2557,๗๒๕๕๗.pdf,72014.pdf,F72557.pdf,www.coastalaqua.com/research/files/th/๗๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/72014.pdf,http://www.coastalaqua.com/research/files/full/F72557.pdf
350,50-0328-45093-032,๘/๒๕๕๗,8/1/2014,"การเลี้ยงหอยหวาน (Babylonia areolata Link, 1807)  โดยใช้ Na2CO3 ควบคุม pH และความเป็นด่าง","Rearing of Spotted Babylon (Babylonia areolata Link, 1807) by Using Na2CO3 Control pH and Alkalinity",สุรชาต  ฉวีภักดิ์ <br>ธิดาพร ฉวีภักดิ์<br>วริษฐา  หนูปิ่น,Surachart Chaweepack Tidaporn Chaweepack and  Varittha  Nuphin,ศูนย์วิจัยและพัฒนาประมงชายฝั่งจันทบุรี,Chanthaburi Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau										,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยหวาน (Babylonia areolata Link, 1807)  pH  ความเป็นด่าง  โซเดียมคาร์บอเนต","Spotted Babylon (Babylonia areolata Link, 1807), pH, alkalinity and Na2CO3",,,บางกะจะ,Bangkcha,เมือง,Muang,จันทบุรี,Chanthaburi,22000,22000,0-3945-3945,0-3945-7987,0-3945-3945,0-3945-7987,2557,2014,2557,๘๒๕๕๗.pdf,82014.pdf,F82557.pdf,www.coastalaqua.com/research/files/th/๘๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/82014.pdf,http://www.coastalaqua.com/research/files/full/F82557.pdf
352,54-0313-54035,๙/๒๕๕๗,9/1/2014,"ผลการใช้โปรตีนไฮโดรไลเสตจากเศษทิ้งกุ้งในอาหารสำเร็จรูปต่อการเจริญเติบโตของปลากะพงขาว (Lates calcarifer Bloch, 1790)","Shrimp Waste Protein Hydrolysate Utilization in Completed Feed for Growth of Asian Seabass (Lates calcarifer Bloch, 1790)",จีรรัตน์ เกื้อแก้ว<br>อัตรา ไชยมงคล<br>กมลรัตน์ ยงเจริญ,Jeerarat Kuakaew   Atra Chaimongkol   Kamonrat Yongjarean,สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,National Institute of Coastal Aquaculture,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau										,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,โปรตีนไฮโดรไลเสต เศษทิ้งกุ้ง ปลากะพงขาว อาหารสำเร็จรูป,"protein hydrolysate, shrimp waste, asian seabass, completed feed",41/14,41/14,บางพระ,Bangphra,ศรีราชา,Sriracha,ชลบุรี,Chonburi,20110,20110,0-3832-6512,0-3832-6512,0-3832-6512,0-3832-6512,2557,2014,2557,๙๒๕๕๗.pdf,92014.pdf,F92557.pdf,www.coastalaqua.com/research/files/th/๙๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/92014.pdf,http://www.coastalaqua.com/research/files/full/F92557.pdf
353,55-0313-55082,๑๐ / ๒๕๕๗,10 / 2014,"การเสริมกรดโพรพิโอนิกและแคลเซียมโพรพิโอเนตในอาหารตอการเจริญเติบโต และการเปลี่ยนแปลงพยาธิสภาพเนื้อเยื่อทางเดินอาหารของ ปลากะพงขาว Lates calcarifer (Bloch, 1790)","Growth Performance and Gastrointestinal Histopathological Changes of Asian Seabass, Lates calcarifer (Bloch, 1790) Following Propionic Acid and Calcium Propionate Supplementation in Completed Diet",จีรรัตน์ เกื้อแก้ว<br>อัตรา ไชยมงคล<br>กมลรัตน์ ยงเจริญ<br>สุพล ตั่นสุวรรณ<br>ปภาศิริ บาร์เนท,Jeerarat Kuakaew  Atra Chaimongkol  Kamonrat Yongjarean  Supon Tansuwon   Praparsiri Barnette,สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,Coastal Aquatic Feed Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau								,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปลากะพงขาว กรดโพรพิโอนิก แคลเซียมโพรพิโอเนต การเจริญเติบโต พยาธิสภาพ,"Seabass, Propionic Acid, Calcium Propionate, Growth, Histophatological",41/14,41/14,บางพระ,Bangphra,ศรีราชา,Sriracha,ชลบุรี,Chonburi,20110,20110,0-3832-6512,0-3832-6512,0-3832-6512,0-3832-6512,2557,2014,2557,๑๐๒๕๕๗.pdf,102014.pdf,F102557.pdf,www.coastalaqua.com/research/files/th/๑๐๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/102014.pdf,http://www.coastalaqua.com/research/files/full/F102557.pdf
354,51-0342-50056-021,๑๑/๒๕๕๗,11 / 2014,"ความรุนแรงของการติดเชื้อ Hepatopancreatic Parvovirus (HPV) ในลูกกุ้งกุลาดา (Penaeus monodon Fabricius, 1798) ขนาดต่างกัน","Severity of Hepatopancreatic Parvovirus ( HPV) Infection in Black Tiger Shrimp (Penaeus monodon Fabricius, 1798) Postlarvae with Different Sizes",ครรชิต เขียวเล่ง<br>นภสินธุ์ รัตนสมบูรณ์,"Kanchit Kheawleng, Napasin Rattanasomboon",ศูนย์วิจัยและพัฒนาประมงชายฝั่งนราธิวาส,Narathiwat Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau			,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,HPV กุ้งกุลาดา,HPV Black Tiger Shrimp,,,ศาลาใหม่,Salamai,ตากใบ,Takbai,นราธิวาส,Narathiwat,96110,96110,0-7353-8454,0-7353-8454,0-7353-8454,0-7353-8454,2557,2014,2557,๑๑๒๕๕๗.pdf,112014.pdf,F112557.pdf,www.coastalaqua.com/research/files/th/๑๑๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/112014.pdf,http://www.coastalaqua.com/research/files/full/F112557.pdf
359,51-0348-51069,๑๓/๒๕๕๗,13/2014,"การศึกษาการปนเปื้อนเชื้อแบคทีเรียในการเพาะไรน้ำเค็ม (Artemia salina Linnaeus, 1778) และไรน้ำกร่อย (Diaphanosoma sp.) ด้วยน้ำหมักสารอินทรีย์","Contamination of Bacteria in Artemia (Artemia salina Linnaeus, 1778) and Brackish water Flea (Diaphanosoma sp.) Culture Using Organic Waste Fermented Solution",กัญญารัตน์ สุนทรา<br>สุทธิชัย ฤทธิธรรม<br>ฤทธิกร ศรแก้ว<br>ทัศนพงษ์ กลมเกลียว<br>ชาตรี ธาราแสง,Kunyarut Suntara* Ritthikorn Sornkaew Suttichai Rittitum Tuspong koomgew and Chatree Tarasang,ศุนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสงคราม,Samutsongkhram Coastal Fisheries Research and Development Center,,Coastal Fisheries Research and Development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,น้้าหมักสารอินทรีย์ ปริมาณแบคทีเรีย ไรน้้าเค็ม ไรน้้ากร่อย,"organic fermenter, bacteria, Artemia salina (Linnaeus, 1778) , Diaphanosoma sp.",135,135,ลาดใหญ่,Lad-yai,เมือง,Muang,สมุทรสงคราม,Samutsongkhram,75000,76100,๐ ๓๒๗๗ ๐๗๕๐,,-,,2557,2014,2557,๑๓๒๕๕๗.pdf,132014.pdf,F132557.pdf,www.coastalaqua.com/research/files/th/๑๓๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/132014.pdf,http://www.coastalaqua.com/research/files/full/F132557.pdf
360,54-0303-53051-010,๑/๒๕๕๘,1/1/2015,"ผลความหนาแน่นของการเลี้ยงปลาตะกรับ (Scatophagus argus Linnaeus, 1766) ในกระชังที่แขวนในบ่อดิน","Stocking Density of Spotted Scat (Scatophagus argus Linnaeus, 1766) Cage Culture in Earthen Pond",วลีรัตน์ มูสิกะสังข์ <br> กฤษณา องอาจ,Waleerat Musikasung* and Kritsana Ong-art,สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau			,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,ปลาตะกรับ  ความหนาแน่น  กระชัง  บ่อดิน,"Scatophagus argus, Spotted scat, density, cage, earthen pond",1/19/2015,1/19/2015,เขารูปช้าง,koarupchang,เมือง,Muang,สงขลา,songkhla,90000,90000,74311895,74311895,74312036,743142036,2558,2015,2558,๑๒๕๕๘.pdf,12015.pdf,F12558.pdf,www.coastalaqua.com/research/files/th/๑๒๕๕๘.pdf,http://www.coastalaqua.com/research/files/en/12015.pdf,http://www.coastalaqua.com/research/files/full/F12558.pdf
358,52-0348-50056-0237,๑๒/๒๕๕๗,12/1/2014,"การศึกษาประสิทธิภาพของสาหร่ายกลวง (Solieria robusta) ในการป้องกันและยับยั้งเชื้อไวรัสตัวแดงดวงขาวในกุ้งกุลาดำ (Penaeus monodon Fabricius, 1798)","Study on Efficiency of Solieria robusta (Greville ) Kylin for Inhibition and Prevention of White Spot Syndrome Virus in Black Tiger Shrimp ( Penaeus monodon Fabricius, 1798 )",กัญญารัตน์ สุนทรา<br>ฤทธิกร ศรแก้ว,Kunyarut Suntara    Ritthikorn Sornkaew,ศุนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสงคราม,Samutsongkhram Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau								,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,สาหร่ายกลวง กุ้งกุลาดา เชื้อไวรัสตัวแดงดวงขาว,"Solieria robusta, Penaeus monodon (Fabricius, 1798), White Spot Syndrome Virus",135,135,ลาดใหญ่,Lad-yai,เมือง,Muang,สมุทรสงคราม,Samutsongkhram,75000,75000,34720170,34716115,34756623,34756623,2557,2014,2557,๑๒๒๕๕๗.pdf,122014.pdf,F122557.pdf,www.coastalaqua.com/research/files/th/๑๒๒๕๕๗.pdf,http://www.coastalaqua.com/research/files/en/122014.pdf,http://www.coastalaqua.com/research/files/full/F122557.pdf
362,39-2-26-16-21-03-319-073,๑๐/๒๕๔๖,10/1/2003,สภาพภูมิอากาศและคุณภาพน้ำบางประการที่มีผลต่อการเพาะเลี้ยงสัตว์น้ำชายฝั่งในอ่าวบ้านดอน จ.สุราษฎร์ธานี ระหว่าง พ.ศ. 2539-2540,"CLIMATIC CONDITION AND WATER QUALITY THAT INFLUENCED THE COASTAL AQUACULTURE ACTIVITY IN BANDON BAY, SURATTHANI PROVINCE DURING 1996 - 1997",นายประดิษฐ์  ชนชื่นชอบ<br>นางธีรยา  ช่วยสุรินทร์,"Pradit Chonchuenchob, Teeraya Chuaysurin",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ภูมิอากาศ, คุณภาพน้ำ, โคลิฟอร์ม แบคทีเรีย, อ่าวบ้านดอน สุราษฎร์ธานี","Climatic condition, water quality, Coliforms bacteria, Bandon Bay, Suratthani Province.",,,ตะเคียนทอง,Takienthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,,,,,2546,2003,2546,๑๐๒๕๔๖.pdf,102003.pdf,F102546.pdf,www.coastalaqua.com/research/files/th/๑๐๒๕๔๖.pdf,http://www.coastalaqua.com/research/files/en/102003.pdf,http://www.coastalaqua.com/research/files/full/F102546.pdf
363,41-1-26-16-2-106-301-066,๑๑/๒๕๔๖,11/1/2003,การแพร่กระจายและความชุกชุมของแพลงก์ตอนบริเวณชายฝั่งทะเล จังหวัดสุราษฎร์ธานี,DISTRIBUTION AND ABUNDANCE OF PLANKTON IN SURATTHANI COASTAL WATER,นางธีรยา ช่วยสุรินทร์<br>นายประดิษฐ์ ชนชื่นชอบ,"Teeraya Chouysurin, Pradit Chonchuenchob",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"แพลงก์ตอน, การแพร่กระจาย, ความหนาแน่น, คุณภาพน้ำ, สุราษฎร์ธานี","Plankton, distribution, abundance, water quality, Suratthani.",,,ตะเคียนทอง,Takienthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,54160,84160,,,,,2546,2003,2546,๑๑๒๕๔๖.pdf,112003.pdf,F112546.pdf,www.coastalaqua.com/research/files/th/๑๑๒๕๔๖.pdf,http://www.coastalaqua.com/research/files/en/112003.pdf,http://www.coastalaqua.com/research/files/full/F112546.pdf
